Akebia stem
Saussurea root
Bitter cardamon
Bear bile
Coix seed
Longgu
Japanese gentian
Alpinia offcinarum rhizome
Nelumbo seed
Rosin
Scopolia rhizome
Epimedium herb
Uva ursi fluidextract
Polygonatum rhizome
Glycyrrhiza extract
Platycodon fluidextract
Dolichos seed
Eleutherococcus senticosus rhizome
Exsiccated gypsum
Clove oil
Cinnamomum sieboldii bark
Nux vomica extract
Pyrethrum extract
Aralia rhizome
Lilium bulb
Pogostemon herb
Donkey glue
Cherry bark
Artemisia leaf
Aluminum silicate hydrate with silicon dioxide
Trichosanthes seed
Citrus peel
Crataegus fruit
Peucedanum root
Cicada slough
Bamboo culm
Arisaema tuber
Quercus bark
Leonurus herb
Longan aril
Persimmon calyx
Scrophularia root
Aster root
Myrobalan fruit
Lonicera flower
Adenophora root
Earthworm
Acorus gramineus rhizome
Areca pericarp
Myrica rubra bark
Shrub chaste tree fruit
Chaenomeles sinensis fruit
Isodon herb
Aralia elata root bark
Nandina fruit
Prunus mume
Nutmeg
Water chestnut
Sophora japoinca flower
Sophora subprostrata root
Ligusticum sinese rhizome
Perilla fruit
Soft shell turtle carapace
Osmorhiza rhizome
Senna pods
Angelica pubescens root
Belladonna leaf
Digitalis
Podophyllum
Rauwolfia serpentina
Opium tincture
Tolu balsam
Almond oil
Anise oil
Caraway oil
Cardamom oil
Tolu balsam tincture
Lemon oil
Peppermint oil
Rose oil
Catharsius molossus
Basil oil
Bay oil
Black pepper oil
Rosewood oil
Plantago herb extract
Cinnamon twig
Koi
Brown rice
Sesame
Tritici semen
Theae folium
Malt
Aconitum carmichaeli mother root
Cinchona bark
Passiflora extact
Camptotheca acuminata
Stephaura cepharantha Hayata extraction alkaloid
Rosskastanien extract
Nardostachytis rhizoma
Turtle shell
Dianthus above ground part
Melia bark
Citron
Gecko
Polygonum cuspidatum root
Coriandrum sativum fruit
Walnut
Gallnut
Trogopterus feces
Fenugreek seed
Cynomorium herb
Sparganium tuber
Quisqualis fruit
Magnetite
Musk
Medicated leaven
Gentiana macrophylla root
Agarwood
Prepared soybean
Pyrrosia leaf
Dendrobium
Elder
Madder root
Inula flower
Mantidae mantis egg-case
Star anise
Salvia root
Sanguisorbae radix
Dayflower
Descurainia seed
Agglomerative substance of Bamboo
Sichuan-pepper
Male seal sex organ
Hippocampus
Codonopsis root
Common rush
Plant worm
Dodder seed
Oriental arborvitae kernel
Dictamnus root bark
Morinda root
Chinese lobelia
Dioscorea hypoglauca
Dioscorea tokoro rhizome
Indian long pepper fruit
Stiff silkworm
Sandalwood
Ampelopsis root
Boneset
Typha pollen
